Sat May 14 19:24:50 CDT 2016 DataR15S0p9T0May__2.root 
Sat May 14 19:25:17 CDT 2016 DataR15S1p0T0May__2.root 
Sat May 14 19:25:44 CDT 2016 DataR15S1p10T0May__2.root 
Sat May 14 19:26:11 CDT 2016 DataR15S1p11T0May__2.root 
Sat May 14 19:26:39 CDT 2016 DataR15S1p12T0May__2.root 
Sat May 14 19:27:12 CDT 2016 DataR15S1p13T0May__2.root 
Sat May 14 19:27:49 CDT 2016 DataR15S1p14T0May__2.root 
Sat May 14 19:28:21 CDT 2016 DataR15S1p15T0May__2.root 
Sat May 14 19:28:54 CDT 2016 DataR15S1p16T0May__2.root 
Sat May 14 19:29:28 CDT 2016 DataR15S1p17T0May__2.root 
Sat May 14 19:29:43 CDT 2016 DataR15S1p1T0May__2.root 
Sat May 14 19:30:17 CDT 2016 DataR15S1p2T0May__2.root 
Sat May 14 19:30:50 CDT 2016 DataR15S1p3T0May__2.root 
Sat May 14 19:31:36 CDT 2016 DataR15S1p4T0May__2.root 
Sat May 14 19:32:04 CDT 2016 DataR15S1p5T0May__2.root 
Sat May 14 19:32:33 CDT 2016 DataR15S1p6T0May__2.root 
Sat May 14 19:33:02 CDT 2016 DataR15S1p7T0May__2.root 
Sat May 14 19:33:37 CDT 2016 DataR15S1p8T0May__2.root 
Sat May 14 19:34:06 CDT 2016 DataR15S1p9T0May__2.root 
Sat May 14 19:34:37 CDT 2016 DataR16S0p0T0May__3.root 
Sat May 14 19:35:06 CDT 2016 DataR16S0p10T0May__3.root 
Sat May 14 19:35:44 CDT 2016 DataR16S0p11T0May__3.root 
Sat May 14 19:36:25 CDT 2016 DataR16S0p12T0May__3.root 
Sat May 14 19:36:58 CDT 2016 DataR16S0p13T0May__3.root 
Sat May 14 19:37:29 CDT 2016 DataR16S0p14T0May__3.root 
Sat May 14 19:37:56 CDT 2016 DataR16S0p15T0May__3.root 
Sat May 14 19:38:26 CDT 2016 DataR16S0p16T0May__3.root 
Sat May 14 19:38:55 CDT 2016 DataR16S0p17T0May__3.root 
Sat May 14 19:39:23 CDT 2016 DataR16S0p18T0May__3.root 
Sat May 14 19:39:49 CDT 2016 DataR16S0p19T0May__3.root 
Sat May 14 19:40:17 CDT 2016 DataR16S0p1T0May__3.root 
Sat May 14 19:40:49 CDT 2016 DataR16S0p20T0May__3.root 
Sat May 14 19:41:16 CDT 2016 DataR16S0p21T0May__3.root 
Sat May 14 19:41:42 CDT 2016 DataR16S0p22T0May__3.root 
Sat May 14 19:41:45 CDT 2016 DataR16S0p2T0May__3.root 
Sat May 14 19:42:11 CDT 2016 DataR16S0p3T0May__3.root 
Sat May 14 19:42:38 CDT 2016 DataR16S0p4T0May__3.root 
Sat May 14 19:43:12 CDT 2016 DataR16S0p5T0May__3.root 
Sat May 14 19:43:38 CDT 2016 DataR16S0p6T0May__3.root 
Sat May 14 19:44:10 CDT 2016 DataR16S0p7T0May__3.root 
Sat May 14 19:44:36 CDT 2016 DataR16S0p8T0May__3.root 
Sat May 14 19:45:06 CDT 2016 DataR16S0p9T0May__3.root 
Sat May 14 19:45:35 CDT 2016 DataR16S1p0T0May__3.root 
Sat May 14 19:46:03 CDT 2016 DataR16S1p10T0May__3.root 
Sat May 14 19:46:36 CDT 2016 DataR16S1p11T0May__3.root 
Sat May 14 19:47:04 CDT 2016 DataR16S1p12T0May__3.root 
Sat May 14 19:47:32 CDT 2016 DataR16S1p13T0May__3.root 
Sat May 14 19:47:58 CDT 2016 DataR16S1p14T0May__3.root 
Sat May 14 19:48:25 CDT 2016 DataR16S1p15T0May__3.root 
Sat May 14 19:48:53 CDT 2016 DataR16S1p16T0May__3.root 
Sat May 14 19:49:20 CDT 2016 DataR16S1p17T0May__3.root 
Sat May 14 19:49:46 CDT 2016 DataR16S1p18T0May__3.root 
Sat May 14 19:50:14 CDT 2016 DataR16S1p19T0May__3.root 
Sat May 14 19:50:41 CDT 2016 DataR16S1p1T0May__3.root 
Sat May 14 19:51:08 CDT 2016 DataR16S1p20T0May__3.root 
Sat May 14 19:51:36 CDT 2016 DataR16S1p21T0May__3.root 
Sat May 14 19:52:04 CDT 2016 DataR16S1p22T0May__3.root 
Sat May 14 19:52:41 CDT 2016 DataR16S1p23T0May__3.root 
Sat May 14 19:53:14 CDT 2016 DataR16S1p24T0May__3.root 
Sat May 14 19:53:59 CDT 2016 DataR16S1p25T0May__3.root 
Sat May 14 19:54:25 CDT 2016 DataR16S1p26T0May__3.root 
Sat May 14 19:54:47 CDT 2016 DataR16S1p2T0May__3.root 
Sat May 14 19:55:25 CDT 2016 DataR16S1p3T0May__3.root 
Sat May 14 19:55:57 CDT 2016 DataR16S1p4T0May__3.root 
